iter	Passed	Remaining
368	593	1015
369	596	1015
370	598	1013
371	600	1013
372	601	1011
373	603	1010
374	605	1009
375	607	1008
376	609	1006
377	610	1004
378	612	1003
379	614	1001
380	616	1000
381	617	999
382	618	997
383	620	995
384	622	993
385	623	992
386	625	990
387	627	989
388	628	987
389	630	985
390	631	983
391	633	982
392	635	981
393	636	979
394	638	978
395	640	976
396	641	974
397	643	972
398	645	972
399	647	971
400	649	970
401	651	969
402	653	967
403	655	966
404	656	964
405	658	962
406	659	961
407	661	959
408	663	958
409	666	958
410	667	956
411	669	955
412	671	954
413	673	952
414	674	950
415	676	949
416	677	947
417	679	946
418	681	944
419	682	942
420	684	941
421	685	939
422	687	937
423	689	936
424	690	934
425	693	933
426	694	932
427	696	930
428	698	929
429	699	927
430	701	926
431	703	924
432	704	923
433	706	921
434	708	920
435	710	918
436	711	917
437	713	915
438	715	914
439	717	912
440	718	911
441	720	909
442	722	907
443	723	906
444	726	905
445	727	904
446	729	902
447	730	900
448	732	899
449	734	897
450	735	895
451	737	894
452	739	892
453	741	891
454	742	889
455	744	888
456	746	886
457	747	885
458	749	883
459	751	881
460	752	880
461	754	878
462	756	877
463	758	875
464	759	874
465	761	872
466	763	870
467	764	868
468	766	867
469	767	865
470	769	864
471	771	862
472	772	861
473	774	859
474	776	857
475	777	856
476	779	854
477	781	853
478	782	851
479	784	850
480	786	848
481	788	847
482	789	845
483	791	844
484	793	842
485	795	841
486	796	839
487	798	837
488	800	836
489	801	834
490	803	832
491	804	830
492	806	829
493	808	827
494	809	826
495	811	824
496	813	822
497	814	821
498	816	819
499	818	818
500	819	816
501	821	814
502	823	813
503	824	811
504	826	810
505	828	808
506	829	806
507	831	805
508	833	803
509	835	802
510	836	800
511	838	799
512	840	798
513	842	796
514	844	795
515	846	793
516	848	792
517	850	791
518	852	789
519	854	788
520	855	786
521	858	785
522	860	784
523	862	783
524	864	781
525	865	780
526	867	778
527	869	777
528	871	775
529	872	773
530	874	772
531	876	770
532	877	768
533	879	767
534	881	766
535	883	764
536	885	763
537	887	762
538	889	760
539	891	759
540	893	757
541	894	756
542	896	754
543	898	753
544	900	751
545	901	749
546	903	748
547	905	746
548	906	744
549	908	743
550	910	741
551	911	740
552	913	738
553	915	736
554	916	735
555	918	733
556	920	731
557	921	730
558	923	728
559	925	726
560	926	725
561	928	723
562	930	722
563	932	720
564	934	719
565	935	717
566	937	715
567	939	714
568	940	712
569	942	711
570	944	709
571	946	707
572	947	706
573	949	704
574	951	702
575	952	701
576	954	699
577	956	698
578	958	696
579	960	695
580	961	693
581	963	691
582	965	690
583	966	688
584	968	687
585	970	685
586	972	683
587	973	682
588	975	680
589	977	679
590	979	677
591	980	676
592	982	674
593	984	672
594	985	671
595	987	669
596	989	667
597	990	666
598	992	664
599	994	663
600	996	661
601	998	659
602	999	658
603	1001	656
604	1003	655
605	1005	653
606	1007	652
607	1009	650
608	1010	648
609	1012	647
610	1014	645
611	1016	644
612	1017	642
613	1019	640
614	1021	639
615	1023	637
616	1025	636
617	1026	634
618	1028	633
619	1030	631
620	1031	629
621	1033	628
622	1035	626
623	1037	625
624	1039	623
625	1041	622
626	1042	620
627	1044	618
628	1046	617
629	1048	615
630	1049	613
631	1051	612
632	1053	610
633	1054	609
634	1056	607
635	1058	605
636	1059	603
637	1061	602
638	1063	600
639	1065	599
640	1066	597
641	1068	595
642	1070	594
643	1072	592
644	1074	591
645	1076	589
646	1077	588
647	1079	586
648	1081	584
649	1083	583
650	1085	582
651	1087	580
652	1089	578
653	1091	577
654	1092	575
655	1094	573
656	1096	572
657	1097	570
658	1099	569
659	1101	567
660	1103	565
661	1105	564
662	1107	562
663	1109	561
664	1111	559
665	1113	558
666	1115	557
667	1118	556
668	1121	554
669	1123	553
670	1125	551
671	1130	551
672	1133	550
673	1135	549
674	1137	547
675	1138	545
676	1140	543
677	1141	542
678	1143	540
679	1144	538
680	1146	537
681	1148	535
682	1150	534
683	1152	532
684	1154	530
685	1156	529
686	1157	527
687	1159	525
688	1160	523
689	1162	522
690	1164	520
691	1166	519
692	1168	517
693	1170	515
694	1171	514
695	1173	512
696	1175	511
697	1177	509
698	1179	508
699	1181	506
700	1183	504
701	1185	503
702	1187	501
703	1189	499
704	1190	498
705	1192	496
706	1194	495
707	1196	493
708	1198	491
709	1200	490
710	1201	488
711	1203	486
712	1205	485
713	1206	483
714	1208	481
715	1210	480
716	1212	478
717	1214	476
718	1216	475
719	1217	473
720	1219	472
721	1221	470
722	1223	468
723	1225	467
724	1227	465
725	1229	463
726	1231	462
727	1233	460
728	1235	459
729	1237	457
730	1238	455
731	1240	454
732	1242	452
733	1244	451
734	1246	449
735	1248	447
736	1250	446
737	1251	444
738	1253	442
739	1255	441
740	1257	439
741	1259	437
742	1261	436
743	1262	434
744	1264	432
745	1266	431
746	1268	429
747	1270	427
748	1272	426
749	1274	424
750	1275	423
751	1277	421
752	1279	419
753	1281	417
754	1282	416
755	1284	414
756	1286	412
757	1288	411
758	1290	409
759	1291	407
760	1293	406
761	1295	404
762	1297	402
763	1298	401
764	1300	399
765	1302	397
766	1304	396
767	1306	394
768	1307	392
769	1309	391
770	1311	389
771	1313	387
772	1314	386
773	1316	384
774	1318	382
775	1320	381
776	1322	379
777	1324	377
778	1326	376
779	1328	374
780	1329	372
781	1331	371
782	1333	369
783	1335	368
784	1337	366
785	1339	364
786	1341	363
787	1342	361
788	1344	359
789	1346	357
790	1348	356
791	1350	354
792	1352	353
793	1354	351
794	1356	349
795	1357	348
796	1359	346
797	1361	344
798	1363	342
799	1364	341
800	1366	339
801	1368	337
802	1370	336
803	1371	334
804	1373	332
805	1375	331
806	1377	329
807	1379	327
808	1381	326
809	1385	324
810	1388	323
811	1390	321
812	1392	320
813	1394	318
814	1396	316
815	1398	315
816	1400	313
817	1402	311
818	1403	310
819	1405	308
820	1407	306
821	1409	305
822	1411	303
823	1413	301
824	1415	300
825	1416	298
826	1418	296
827	1420	295
828	1422	293
829	1424	291
830	1426	290
831	1428	288
832	1430	286
833	1432	285
834	1434	283
835	1435	281
836	1438	280
837	1440	278
838	1441	276
839	1443	275
840	1446	273
841	1448	271
842	1450	270
843	1451	268
844	1453	266
845	1455	264
846	1457	263
847	1459	261
848	1461	259
849	1464	258
850	1466	256
851	1468	255
852	1470	253
853	1472	251
854	1473	249
855	1475	248
856	1477	246
857	1479	244
858	1481	243
859	1483	241
860	1485	239
861	1487	238
862	1489	236
863	1491	234
864	1492	232
865	1494	231
866	1496	229
867	1498	227
868	1500	226
869	1501	224
870	1503	222
871	1505	221
872	1507	219
873	1509	217
874	1511	215
875	1513	214
876	1514	212
877	1516	210
878	1518	209
879	1520	207
880	1522	205
881	1523	203
882	1525	202
883	1527	200
884	1529	198
885	1531	197
886	1533	195
887	1535	193
888	1537	191
889	1539	190
890	1541	188
891	1543	186
892	1545	185
893	1547	183
894	1549	181
895	1551	180
896	1553	178
897	1555	176
898	1557	174
899	1558	173
900	1560	171
901	1562	169
902	1564	168
903	1566	166
904	1571	164
905	1573	163
906	1575	161
907	1577	159
908	1579	158
909	1581	156
910	1583	154
911	1585	153
912	1588	151
913	1590	149
914	1593	147
915	1594	146
916	1597	144
917	1599	142
918	1604	141
919	1606	139
920	1608	137
921	1610	136
922	1612	134
923	1614	132
924	1616	131
925	1617	129
926	1619	127
927	1621	125
928	1623	124
929	1624	122
930	1626	120
931	1629	118
932	1632	117
933	1634	115
934	1636	113
935	1638	112
936	1640	110
937	1641	108
938	1643	106
939	1644	104
940	1646	103
941	1649	101
942	1650	99
943	1652	98
944	1653	96
945	1655	94
946	1656	92
947	1658	90
948	1659	89
949	1661	87
950	1663	85
951	1665	83
952	1667	82
953	1669	80
954	1670	78
955	1672	76
956	1674	75
957	1675	73
958	1677	71
959	1679	69
960	1681	68
961	1683	66
962	1685	64
963	1686	62
964	1688	61
965	1689	59
966	1691	57
967	1693	55
968	1695	54
969	1696	52
970	1698	50
971	1700	48
972	1702	47
973	1703	45
974	1705	43
975	1707	41
976	1709	40
977	1710	38
978	1712	36
979	1714	34
980	1716	33
981	1718	31
982	1719	29
983	1721	27
984	1722	26
985	1724	24
986	1726	22
987	1727	20
988	1729	19
989	1731	17
990	1733	15
991	1734	13
992	1736	12
993	1737	10
994	1739	8
995	1741	6
996	1743	5
997	1745	3
998	1746	1
999	1748	0
