iter	RMSE
213	31847.33083
214	31785.26094
215	31744.32558
216	31695.92251
217	31601.10242
218	31520.95801
219	31451.02522
220	31432.30103
221	31373.55977
222	31311.62165
223	31150.0529
224	30984.23092
225	30822.10629
226	30674.53379
227	30526.41361
228	30376.00467
229	30233.35112
230	30187.93722
231	30040.38208
232	30016.14105
233	29875.14137
234	29825.23819
235	29686.98618
236	29639.46227
237	29503.61522
238	29366.47188
239	29232.46876
240	29106.85999
241	28980.99713
242	28935.47768
243	28919.06365
244	28880.12553
245	28853.46783
246	28807.98315
247	28765.91746
248	28732.33692
249	28704.10876
250	28583.22331
251	28462.12251
252	28430.81787
253	28314.72968
254	28274.31296
255	28241.64482
256	28227.38764
257	28195.06276
258	28077.69689
259	28056.61058
260	28028.30344
261	27991.46039
262	27964.21229
263	27937.95434
264	27910.89466
265	27798.49776
266	27793.13196
267	27680.86857
268	27654.62434
269	27629.08495
270	27605.57764
271	27585.74619
272	27550.438
273	27525.65889
274	27501.77148
275	27431.86887
276	27403.00807
277	27380.57054
278	27352.49168
279	27317.8509
280	27280.55963
281	27275.32188
282	27249.03631
283	27217.16454
284	27188.80472
285	27081.56324
286	27054.9921
287	27049.89765
288	27025.26379
289	26980.30946
290	26922.41665
291	26918.40879
292	26894.38315
293	26876.22554
294	26847.33838
295	26793.0927
296	26789.15701
297	26767.19029
298	26740.98519
299	26723.84978
300	26672.58639
301	26668.76239
302	26665.05081
303	26649.96932
304	26624.44665
305	26620.87819
306	26606.13786
307	26602.67263
308	26599.30883
309	26492.18857
310	26470.00923
311	26365.1755
312	26341.26724
313	26318.17421
314	26215.48453
315	26164.84374
316	26064.23789
317	26032.50459
318	26018.67506
319	25994.5278
320	25896.92943
321	25866.85951
322	25846.9614
323	25752.46361
324	25659.07155
325	25567.97997
326	25544.6607
327	25495.94549
328	25407.00734
329	25361.01854
330	25347.56028
331	25321.49185
332	25236.57473
333	25192.96251
334	25172.17544
335	25145.77298
336	25132.85944
337	25120.54266
338	25037.08087
339	24994.10143
340	24970.44652
341	24888.63166
342	24864.75557
343	24781.78166
344	24761.08465
345	24736.58997
346	24728.26939
347	24725.05392
348	24646.56577
349	24567.18841
350	24544.38165
351	24503.31685
352	24428.07229
353	24405.64295
354	24381.36175
355	24360.15487
356	24334.89036
357	24320.57717
358	24243.56621
359	24222.08353
360	24147.34441
361	24073.45205
362	24001.20198
363	23962.60476
364	23891.84065
365	23822.65052
366	23779.06666
367	23729.07204
368	23725.83422
369	23704.24562
370	23637.73872
371	23617.32778
372	23593.12947
373	23573.88598
374	23555.11218
375	23500.81415
376	23481.52203
377	23415.5753
378	23351.69368
379	23284.16993
380	23241.58266
381	23232.62437
382	23180.06792
383	23164.42479
384	23102.2055
385	23041.37751
386	22981.90997
387	22970.45783
388	22966.06463
389	22908.76397
390	22892.45086
391	22878.06486
392	22821.05056
393	22765.31433
394	22747.31781
395	22692.78978
396	22634.67762
397	22630.98758
398	22611.06866
399	22569.95201
400	22549.17245
401	22545.1176
402	22490.64798
403	22470.17709
404	22462.00225
405	22456.10077
406	22436.2288
407	22385.92267
408	22369.67181
409	22319.61284
410	22316.11648
411	22308.17638
412	22257.19181
413	22251.64896
414	22248.45595
415	22228.11045
416	22224.79436
417	22187.78892
418	22184.57835
419	22134.80217
420	22111.76406
421	22103.90723
422	22055.38217
423	22040.23451
424	22034.10538
425	22018.3899
426	22008.71908
427	21952.16173
428	21933.45265
429	21922.39273
430	21908.88142
431	21902.71194
432	21863.26498
433	21808.05985
434	21792.62111
435	21787.08425
436	21776.2366
437	21761.92101
438	21757.53751
439	21723.59664
440	21708.91669
441	21688.72168
442	21676.48276
443	21654.79009
444	21616.2824
445	21606.93202
446	21599.62091
447	21546.2551
448	21494.97583
449	21483.80425
450	21464.41175
451	21457.51018
452	21448.95374
453	21425.9337
454	21407.14196
455	21363.48057
456	21326.28727
457	21312.62699
458	21269.86841
459	21258.24205
460	21216.4553
461	21205.56739
462	21178.7359
463	21130.00844
464	21123.54669
465	21113.94722
466	21111.41197
467	21100.10515
468	21083.15237
469	21040.44462
470	21036.08347
471	21015.3121
472	20965.01212
473	20957.50564
474	20918.17138
475	20872.54832
476	20839.55025
477	20830.74887
478	20824.34436
479	20807.501
480	20763.25274
481	20750.75191
482	20745.1531
483	20730.29337
484	20718.47145
485	20714.21102
486	20697.24839
487	20685.84082
488	20664.88814
489	20654.13854
490	20642.03091
491	20602.7303
492	20591.33243
493	20585.84548
494	20582.71585
495	20571.73205
496	20533.63312
497	20527.79511
498	20525.28023
499	20513.22671
500	20510.33082
501	20473.35035
502	20460.7832
503	20450.64802
504	20415.74373
505	20405.69021
506	20390.82943
507	20371.51187
508	20353.2974
509	20336.11774
510	20326.51664
511	20294.62942
512	20245.58185
513	20206.45289
514	20195.07483
515	20185.71488
516	20171.46949
517	20139.15696
518	20091.08322
519	20082.88225
520	20074.56333
521	20058.68167
522	20021.23716
523	19991.96494
524	19964.97713
525	19948.24518
526	19915.54899
527	19913.04617
528	19898.74421
529	19885.60997
530	19880.53964
531	19865.48051
532	19857.84272
533	19852.74134
534	19835.51538
535	19825.76171
536	19810.18834
537	19762.68916
538	19753.17635
539	19718.04434
540	19714.50864
541	19692.56845
542	19689.13552
543	19668.16296
544	19657.56781
545	19647.20183
546	19640.49604
547	19638.19571
548	19609.69661
549	19593.58203
550	19546.31837
551	19541.59907
552	19526.46824
553	19506.10421
554	19491.21781
555	19461.50159
556	19441.66597
557	19430.93893
558	19412.02757
559	19393.03077
560	19385.24319
561	19357.73827
562	19341.49639
563	19314.79845
564	19280.93605
565	19254.86416
566	19252.71447
567	19234.43043
568	19226.79574
569	19222.18027
570	19207.53845
571	19192.69273
572	19181.9286
573	19172.39244
574	19166.42551
575	19158.26858
576	19145.04615
577	19135.12146
578	19121.46099
579	19118.55428
580	19112.24322
581	19109.42954
582	19095.84996
583	19081.51388
584	19056.42541
585	19035.50983
586	19031.0161
587	19025.43718
588	19013.8012
589	19002.01699
590	18982.22584
591	18974.55534
592	18963.6328
593	18957.64423
594	18949.02434
595	18937.25207
596	18926.67699
597	18917.37815
598	18906.06426
599	18893.66439
600	18891.93008
601	18869.22039
602	18854.08516
603	18835.29692
604	18827.78079
605	18796.78451
606	18783.72782
607	18776.39624
608	18769.24299
609	18736.07199
610	18724.35895
611	18711.82278
612	18700.3959
613	18696.95327
614	18694.42011
615	18691.32537
616	18683.90146
617	18673.93499
618	18666.85462
619	18657.40514
620	18654.39225
621	18650.63951
622	18643.63754
623	18597.7384
624	18587.7683
625	18584.25224
626	18577.19123
627	18567.77638
628	18549.6498
629	18534.94193
630	18503.26973
631	18489.54307
632	18478.31105
633	18447.68886
634	18442.902
635	18433.53786
636	18412.14989
637	18383.64554
638	18348.59055
639	18338.03728
640	18324.75597
641	18299.18918
642	18292.2118
643	18275.29389
644	18272.93173
645	18266.73212
646	18256.0555
647	18245.38531
648	18242.8036
649	18213.01569
650	18199.88448
651	18172.72834
652	18170.22585
653	18157.57495
654	18147.9025
655	18137.88928
656	18130.15741
657	18119.48121
658	18093.37026
659	18090.94385
660	18067.01368
661	18056.98445
662	18049.99179
663	18043.91771
664	18018.95509
665	18013.43311
666	17998.09969
667	17992.83997
668	17984.15163
669	17969.94259
670	17963.10735
671	17956.89878
672	17933.90608
673	17911.46631
674	17901.70055
675	17893.67755
676	17886.95971
677	17879.70443
678	17875.62196
679	17872.62578
680	17849.12809
681	17839.57217
682	17836.41673
683	17833.39304
684	17814.48447
685	17807.44429
686	17801.09502
687	17794.40234
688	17783.92208
689	17780.78078
690	17767.74011
691	17759.05829
692	17752.64117
693	17743.71324
694	17720.75282
695	17717.24483
696	17714.07214
697	17702.5087
698	17690.33189
699	17677.6065
700	17671.44619
701	17669.28845
702	17666.45631
703	17661.02684
704	17656.14711
705	17633.70179
706	17630.80499
707	17620.98824
708	17616.14367
709	17594.27252
710	17589.06282
711	17586.12355
712	17583.38133
713	17577.54165
714	17569.16971
715	17563.92626
716	17558.25924
717	17553.68409
718	17545.64558
719	17540.35616
720	17530.54504
721	17509.13434
722	17507.13226
723	17504.56775
724	17484.41925
725	17480.24478
726	17459.99036
727	17450.39003
728	17434.44859
729	17420.92817
730	17415.49886
731	17408.65722
732	17398.53862
733	17392.01303
734	17386.61447
735	17376.04441
736	17369.28692
737	17366.22787
738	17352.63897
739	17339.56279
740	17335.61753
741	17326.7287
742	17318.22417
743	17312.09483
744	17304.79677
745	17299.3103
746	17295.09727
747	17288.47025
748	17284.49051
749	17277.48146
750	17273.64302
751	17263.9298
752	17251.95122
753	17243.33807
754	17232.49517
755	17227.59704
756	17221.42021
757	17217.50051
758	17210.74399
759	17209.05708
760	17207.60363
761	17196.13655
762	17192.62278
763	17188.88384
764	17183.60011
765	17180.86036
766	17177.72771
767	17167.46063
768	17157.49816
769	17153.53167
770	17136.99351
771	17118.03432
772	17114.38781
773	17112.84446
774	17107.47108
775	17098.52485
776	17090.20269
777	17089.05688
778	17084.68038
779	17078.25679
780	17060.33601
781	17056.72432
782	17041.92519
783	17033.87313
784	17016.09049
785	17008.7494
786	17004.70936
787	16997.20691
788	16988.59918
789	16979.90832
790	16973.6703
791	16969.30541
792	16965.25464
793	16948.89823
794	16943.06501
795	16941.74367
796	16937.133
797	16932.91612
798	16925.7443
799	16921.23645
800	16919.98011
801	16917.42677
802	16906.52041
803	16899.64468
804	16895.87186
805	16888.07942
806	16886.87464
807	16869.51426
808	16862.64419
809	16847.43867
810	16844.94113
811	16839.23781
812	16837.97857
813	16822.68162
814	16805.71797
815	16791.4012
816	16785.55915
817	16773.12481
818	16750.08316
819	16744.28097
820	16741.77539
821	16736.24849
822	16732.90703
823	16723.41807
824	16719.14019
825	16715.90544
826	16711.25988
827	16701.51291
828	16677.19174
829	16675.11051
830	16669.43506
831	16664.69061
832	16661.2665
833	16652.50049
834	16650.54146
835	16644.99747
836	16639.84672
837	16594.75164
838	16589.3301
839	16582.32483
840	16566.01454
841	16564.48722
842	16558.03675
843	16553.73983
844	16552.99549
845	16551.13801
846	16543.54586
847	16536.57882
848	16535.59292
849	16530.2929
850	16527.45095
851	16524.5083
852	16523.08257
853	16513.67252
854	16512.30059
855	16507.12554
856	16500.50025
857	16493.52472
858	16485.00991
859	16481.88515
860	16479.71552
861	16469.2235
862	16454.20116
863	16444.10477
864	16438.12297
865	16426.92482
866	16424.79902
867	16414.89544
868	16393.22306
869	16387.01532
870	16385.47071
871	16372.19086
872	16361.7924
873	16349.37292
874	16347.66106
875	16344.29339
876	16340.24592
877	16334.87743
878	16328.69702
879	16324.84416
880	16323.53516
881	16321.43931
882	16318.79978
883	16309.07409
884	16292.57578
885	16284.22738
886	16268.13946
887	16223.48645
888	16222.64816
889	16217.60451
890	16214.3023
891	16198.55033
892	16193.68548
893	16191.87845
894	16180.51886
895	16178.11467
896	16172.93161
897	16152.61662
898	16149.50933
899	16147.53151
900	16145.55333
901	16144.16568
902	16141.17763
903	16135.37757
904	16132.54877
905	16130.04047
906	16126.45925
907	16119.33138
908	16115.51219
909	16107.58887
910	16101.7278
911	16096.97656
912	16090.22881
913	16087.09426
914	16066.0243
915	16061.50509
916	16057.6847
917	16052.05797
918	16023.75229
919	16020.45288
920	16013.59024
921	15993.17783
922	15978.79988
923	15977.93756
924	15974.06272
925	15971.22594
926	15966.63373
927	15952.59089
928	15939.60571
929	15936.95338
930	15933.42687
931	15931.23993
932	15927.7859
933	15923.29519
934	15894.9248
935	15881.48711
936	15874.60521
937	15861.59271
938	15848.89076
939	15846.28688
940	15835.60493
941	15832.56246
942	15829.72402
943	15829.13254
944	15827.96807
945	15825.55864
946	15822.35807
947	15811.03612
948	15807.63169
949	15805.31774
950	15802.53194
951	15793.37561
952	15784.19606
953	15780.71733
954	15770.61341
955	15764.07455
956	15757.91764
957	15754.06268
958	15745.30185
959	15739.51803
960	15735.70386
961	15729.44656
962	15726.03757
963	15722.89666
964	15721.5596
965	15717.70022
966	15674.48284
967	15647.70607
968	15621.94146
969	15620.19815
970	15610.71542
971	15601.6951
972	15596.4338
973	15593.55385
974	15552.37638
975	15543.76821
976	15541.8976
977	15532.76563
978	15530.59327
979	15524.62425
980	15499.55489
981	15492.29381
982	15485.37825
983	15483.85531
984	15481.71483
985	15476.50691
986	15474.35902
987	15470.88118
988	15468.61039
989	15461.41481
990	15435.18716
991	15431.73025
992	15428.38219
993	15424.28172
994	15420.07047
995	15416.44436
996	15413.65209
997	15410.35172
998	15404.02852
999	15402.22647
